# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20130301,   35,   25,   50
  260,20130302,   31,   19,   45
  260,20130303,   38,  -10,   62
  260,20130304,   45,  -24,  109
  260,20130305,   86,   24,  159
  260,20130306,  112,   48,  168
  260,20130307,   89,   73,  112
  260,20130308,   91,   60,  131
  260,20130309,   47,   10,   62
  260,20130310,   -1,  -15,   10
  260,20130311,  -21,  -30,  -12
  260,20130312,  -25,  -69,    5
  260,20130313,   -9,  -74,   57
  260,20130314,   -7,  -52,   36
  260,20130315,    4,  -54,   33
  260,20130316,   53,   27,   77
  260,20130317,   56,   29,   91
  260,20130318,   57,   13,  103
  260,20130319,   33,    0,   66
  260,20130320,   14,    6,   27
  260,20130321,   12,  -26,   59
  260,20130322,    5,  -29,   41
  260,20130323,   -3,  -26,   23
  260,20130324,   -6,  -36,   30
  260,20130325,    3,  -24,   41
  260,20130326,    7,  -29,   55
  260,20130327,   10,  -35,   63
  260,20130328,    1,  -31,   42
  260,20130329,   -4,  -34,   27
  260,20130330,    3,  -39,   48
  260,20130331,    5,  -53,   43
  260,20130401,   23,  -30,   75
  260,20130402,   33,  -27,   84
  260,20130403,   30,   -5,   86
  260,20130404,   28,    4,   47
  260,20130405,   40,   12,   74
  260,20130406,   42,  -30,   91
  260,20130407,   41,  -24,   94
  260,20130408,   59,   -3,  111
  260,20130409,   65,   22,  106
  260,20130410,   61,    9,  110
  260,20130411,   71,   39,  104
  260,20130412,   86,   45,  141
  260,20130413,  100,   53,  149
  260,20130414,  158,  110,  210
  260,20130415,  123,   58,  168
  260,20130416,  121,   50,  172
  260,20130417,  152,   81,  207
  260,20130418,  124,   84,  171
  260,20130419,   80,   39,  121
  260,20130420,   63,  -18,  122
  260,20130421,   73,   -3,  144
  260,20130422,   88,  -18,  152
  260,20130423,  105,   65,  147
  260,20130424,  135,   59,  200
  260,20130425,  155,   98,  228
  260,20130426,   79,   43,  124
  260,20130427,   66,   11,  110
  260,20130428,   72,    7,  128
  260,20130429,   80,   27,  128
  260,20130430,   85,   24,  132
  260,20130501,  105,   24,  174
  260,20130502,  113,   59,  170
  260,20130503,  123,   52,  190
  260,20130504,  118,   36,  174
  260,20130505,  132,   72,  188
  260,20130506,  155,   46,  231
  260,20130507,  164,   98,  232
  260,20130508,  163,  126,  219
  260,20130509,  131,   78,  170
  260,20130510,  124,   94,  158
  260,20130511,  102,   80,  137
  260,20130512,   95,   67,  131
  260,20130513,  111,   77,  137
  260,20130514,   94,   61,  120
  260,20130515,  117,   49,  172
  260,20130516,   92,   40,  112
  260,20130517,   92,   81,  104
  260,20130518,   98,   51,  128
  260,20130519,  108,   35,  151
  260,20130520,  114,  101,  126
  260,20130521,  103,   86,  115
  260,20130522,   90,   40,  123
  260,20130523,   66,   40,  104
  260,20130524,   79,   31,  125
  260,20130525,   89,   28,  139
  260,20130526,   97,   80,  124
  260,20130527,  135,   70,  195
  260,20130528,  160,   90,  216
  260,20130529,  111,  101,  124
  260,20130530,  131,  106,  168
  260,20130531,  151,  107,  206
  260,20130601,  110,   84,  154
  260,20130602,  121,   67,  177
  260,20130603,  108,   57,  148
  260,20130604,  145,   79,  210
  260,20130605,  162,   88,  219
  260,20130606,  176,  104,  252
  260,20130607,  172,  109,  247
  260,20130608,  141,   99,  198
  260,20130609,  123,   88,  169
  260,20130610,  121,   67,  172
  260,20130611,  154,   56,  216
  260,20130612,  186,  160,  218
  260,20130613,  160,  133,  187
  260,20130614,  150,   91,  191
  260,20130615,  148,   87,  189
  260,20130616,  144,   87,  189
  260,20130617,  179,   77,  240
  260,20130618,  227,  140,  304
  260,20130619,  216,  176,  264
  260,20130620,  195,  168,  228
  260,20130621,  165,  152,  195
  260,20130622,  161,  136,  192
  260,20130623,  146,  124,  184
  260,20130624,  134,  115,  161
  260,20130625,  131,   64,  174
  260,20130626,  130,   54,  176
  260,20130627,  127,  106,  153
  260,20130628,  137,  111,  171
  260,20130629,  141,   78,  175
  260,20130630,  166,   74,  222
  260,20130701,  157,  104,  193
  260,20130702,  166,   96,  208
  260,20130703,  166,  148,  191
  260,20130704,  180,  153,  225
  260,20130705,  183,  136,  235
  260,20130706,  191,  114,  252
  260,20130707,  196,  119,  251
  260,20130708,  194,  137,  251
  260,20130709,  183,  127,  234
  260,20130710,  162,  131,  195
  260,20130711,  148,  108,  182
  260,20130712,  143,   73,  194
  260,20130713,  165,   94,  218
  260,20130714,  165,  102,  225
  260,20130715,  193,  114,  260
  260,20130716,  198,  110,  260
  260,20130717,  211,  151,  263
  260,20130718,  214,  153,  271
  260,20130719,  205,  131,  257
  260,20130720,  184,  139,  226
  260,20130721,  228,  152,  304
  260,20130722,  249,  152,  326
  260,20130723,  243,  158,  316
  260,20130724,  209,  140,  269
  260,20130725,  209,  125,  290
  260,20130726,  217,  152,  269
  260,20130727,  211,  170,  254
  260,20130728,  196,  146,  234
  260,20130729,  204,  148,  243
  260,20130730,  181,  159,  205
  260,20130731,  198,  175,  225
  260,20130801,  246,  194,  307
  260,20130802,  264,  196,  340
  260,20130803,  199,  127,  234
  260,20130804,  198,  121,  262
  260,20130805,  218,  123,  292
  260,20130806,  187,  139,  222
  260,20130807,  150,  129,  171
  260,20130808,  169,  111,  219
  260,20130809,  177,   97,  232
  260,20130810,  162,  100,  199
  260,20130811,  176,  116,  219
  260,20130812,  166,  113,  211
  260,20130813,  150,   93,  197
  260,20130814,  155,   91,  218
  260,20130815,  154,   80,  207
  260,20130816,  187,  125,  269
  260,20130817,  195,  166,  229
  260,20130818,  184,  138,  226
  260,20130819,  162,  103,  211
  260,20130820,  153,   84,  212
  260,20130821,  172,  104,  240
  260,20130822,  172,  105,  216
  260,20130823,  202,  136,  262
  260,20130824,  188,  152,  235
  260,20130825,  177,  137,  224
  260,20130826,  182,  128,  240
  260,20130827,  178,  102,  242
  260,20130828,  172,  100,  241
  260,20130829,  166,   92,  242
  260,20130830,  174,  100,  233
  260,20130831,  167,   87,  211
  260,20130901,  143,   72,  179
  260,20130902,  168,  136,  196
  260,20130903,  189,  136,  236
  260,20130904,  197,  122,  260
  260,20130905,  224,  143,  303
  260,20130906,  197,  134,  279
  260,20130907,  166,  130,  198
  260,20130908,  145,  119,  186
  260,20130909,  127,  107,  178
  260,20130910,  130,  107,  159
  260,20130911,  150,  103,  194
  260,20130912,  151,  115,  196
  260,20130913,  145,   90,  178
  260,20130914,  146,   98,  179
  260,20130915,  128,   73,  172
  260,20130916,  112,   80,  157
  260,20130917,  103,   86,  143
  260,20130918,  114,   89,  157
  260,20130919,  126,   93,  153
  260,20130920,  132,   76,  168
  260,20130921,  136,   69,  177
  260,20130922,  167,  140,  211
  260,20130923,  155,  102,  200
  260,20130924,  152,  124,  182
  260,20130925,  145,  101,  186
  260,20130926,  130,   73,  164
  260,20130927,  103,   56,  167
  260,20130928,  117,   63,  174
  260,20130929,  125,   85,  179
  260,20130930,  111,   68,  165
  260,20131001,  104,   52,  165
  260,20131002,  103,   51,  152
  260,20131003,  126,   74,  175
  260,20131004,  160,  109,  219
  260,20131005,  149,   91,  194
  260,20131006,  118,   68,  180
  260,20131007,  111,   53,  176
  260,20131008,  145,   71,  182
  260,20131009,  132,   82,  158
  260,20131010,   93,   61,  130
  260,20131011,   78,   62,   86
  260,20131012,   80,   41,  109
  260,20131013,   83,   76,   93
  260,20131014,  101,   89,  112
  260,20131015,   92,   56,  118
  260,20131016,   99,   40,  142
  260,20131017,  121,   63,  161
  260,20131018,  110,   62,  135
  260,20131019,  133,   96,  167
  260,20131020,  149,  123,  187
  260,20131021,  148,  120,  176
  260,20131022,  169,  127,  218
  260,20131023,  157,  123,  188
  260,20131024,  116,   70,  168
  260,20131025,  147,   97,  180
  260,20131026,  163,  144,  195
  260,20131027,  144,  126,  156
  260,20131028,  138,  104,  174
  260,20131029,  103,   79,  135
  260,20131030,   95,   72,  136
  260,20131031,  105,   71,  133
  260,20131101,  111,   97,  126
  260,20131102,  106,   86,  127
  260,20131103,   92,   74,  110
  260,20131104,   86,   73,  124
  260,20131105,   71,   53,   95
  260,20131106,  103,   70,  143
  260,20131107,  115,   92,  143
  260,20131108,   85,   57,  111
  260,20131109,   83,   53,  108
  260,20131110,   55,    8,  101
  260,20131111,   59,   -4,   95
  260,20131112,   71,   27,   87
  260,20131113,   49,   -2,  119
  260,20131114,   70,   49,   83
  260,20131115,   56,    4,  116
  260,20131116,   54,   42,   65
  260,20131117,   63,   53,   73
  260,20131118,   54,   38,   66
  260,20131119,   55,    8,   87
  260,20131120,   25,  -19,   61
  260,20131121,   27,    8,   51
  260,20131122,   42,   15,   59
  260,20131123,   49,    4,   81
  260,20131124,   62,   32,   84
  260,20131125,   51,   31,   80
  260,20131126,   52,   18,   75
  260,20131127,   56,    5,   85
  260,20131128,   88,   73,  104
  260,20131129,   73,   54,   88
  260,20131130,   56,   21,   98
  260,20131201,   61,   17,   93
  260,20131202,   29,  -18,   83
  260,20131203,    7,  -31,   62
  260,20131204,   49,   22,   84
  260,20131205,   48,   25,   91
  260,20131206,   37,   14,   54
  260,20131207,   59,   34,   81
  260,20131208,   81,   65,   96
  260,20131209,   91,   74,  111
  260,20131210,   43,    4,   91
  260,20131211,   12,  -13,   41
  260,20131212,   24,   -1,   52
  260,20131213,   17,   -2,   44
  260,20131214,   64,   29,   88
  260,20131215,   79,   66,   90
  260,20131216,  102,   79,  127
  260,20131217,   64,   52,  106
  260,20131218,   77,   61,   89
  260,20131219,   73,   31,   94
  260,20131220,   59,   38,   83
  260,20131221,   69,   61,   74
  260,20131222,   80,   66,  106
  260,20131223,   81,   49,  116
  260,20131224,   98,   71,  115
  260,20131225,   61,   17,   87
  260,20131226,   51,   17,   70
  260,20131227,   75,   28,   92
  260,20131228,   69,   48,   91
  260,20131229,   52,   27,   79
  260,20131230,   54,   21,   75
  260,20131231,   71,   52,   90
