# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20120227,   62,   33,   82
  260,20120228,   87,   76,   98
  260,20120229,   88,   82,   95
  260,20120301,   90,   83,  101
  260,20120302,   88,   60,  131
  260,20120303,   93,   63,  125
  260,20120304,   79,   29,  113
  260,20120305,   56,   42,   84
  260,20120306,   57,    1,   97
  260,20120307,   43,   -5,   62
  260,20120308,   58,   25,   92
  260,20120309,   78,   41,  106
  260,20120310,   91,   76,  115
  260,20120311,   89,   46,  138
  260,20120312,   79,   11,  135
  260,20120313,   80,   70,   95
  260,20120314,   63,    5,   86
  260,20120315,   67,  -16,  151
  260,20120316,   75,   27,  118
  260,20120317,   93,   57,  125
  260,20120318,   72,   24,   99
  260,20120319,   48,  -19,  116
  260,20120320,   85,   34,  136
  260,20120321,   93,   12,  160
  260,20120322,  123,   51,  192
  260,20120323,  121,   56,  197
  260,20120324,  111,   46,  179
  260,20120325,   95,   39,  169
  260,20120326,   98,   20,  166
  260,20120327,  100,   16,  182
  260,20120328,  104,   29,  184
  260,20120329,   88,   42,  117
  260,20120330,   86,   71,  101
  260,20120331,   68,   10,   93
  260,20120401,   49,  -23,   97
  260,20120402,   81,   22,  135
  260,20120403,   90,   17,  141
  260,20120404,   75,   54,   90
  260,20120405,   59,   17,  102
  260,20120406,   60,  -11,  112
  260,20120407,   53,   20,   79
  260,20120408,   62,   -4,   97
  260,20120409,   90,   68,  101
  260,20120410,   95,   75,  112
  260,20120411,   79,   41,  127
  260,20120412,   71,   21,  125
  260,20120413,   73,   23,  117
  260,20120414,   76,   18,  126
  260,20120415,   66,   36,   96
  260,20120416,   50,  -14,  101
  260,20120417,   49,  -24,  100
  260,20120418,   84,   38,  132
  260,20120419,   89,   41,  134
  260,20120420,   82,   46,  133
  260,20120421,   78,   51,  119
  260,20120422,   88,   60,  133
  260,20120423,   94,   64,  144
  260,20120424,   97,   69,  135
  260,20120425,  100,   63,  134
  260,20120426,  114,   92,  146
  260,20120427,  123,   98,  160
  260,20120428,  105,   89,  124
  260,20120429,  125,   75,  184
  260,20120430,  158,   50,  224
  260,20120501,  149,  104,  192
  260,20120502,  143,   93,  198
  260,20120503,  125,  110,  143
  260,20120504,   99,   70,  120
  260,20120505,   86,   68,  101
  260,20120506,   81,   49,  118
  260,20120507,   99,   20,  151
  260,20120508,  136,   97,  176
  260,20120509,  157,  136,  189
  260,20120510,  183,  152,  218
  260,20120511,  138,   73,  174
  260,20120512,   87,   27,  131
  260,20120513,   88,    9,  143
  260,20120514,  111,   36,  166
  260,20120515,   89,   76,  124
  260,20120516,   82,   23,  120
  260,20120517,  104,   16,  150
  260,20120518,  134,   94,  191
  260,20120519,  154,  114,  206
  260,20120520,  164,  125,  227
  260,20120521,  190,  133,  247
  260,20120522,  214,  147,  284
  260,20120523,  203,  135,  288
  260,20120524,  224,  169,  283
  260,20120525,  208,  148,  257
  260,20120526,  202,  142,  256
  260,20120527,  205,  122,  266
  260,20120528,  183,  112,  243
  260,20120529,  136,   88,  185
  260,20120530,  162,   84,  223
  260,20120531,  144,  121,  184
  260,20120601,  127,   69,  161
  260,20120602,  118,   46,  164
  260,20120603,   91,   82,  110
  260,20120604,   91,   64,  114
  260,20120605,  110,   33,  157
  260,20120606,  139,   98,  187
  260,20120607,  162,  118,  209
  260,20120608,  152,  110,  192
  260,20120609,  133,  113,  159
  260,20120610,  149,   97,  201
  260,20120611,  148,  129,  200
  260,20120612,  136,  106,  165
  260,20120613,  117,   54,  153
  260,20120614,  125,   37,  180
  260,20120615,  149,  111,  193
  260,20120616,  167,  133,  199
  260,20120617,  156,  101,  195
  260,20120618,  144,   86,  187
  260,20120619,  153,   72,  209
  260,20120620,  177,  125,  218
  260,20120621,  178,  140,  219
  260,20120622,  154,  127,  184
  260,20120623,  157,  122,  193
  260,20120624,  137,  119,  167
  260,20120625,  143,  105,  173
  260,20120626,  162,   77,  225
  260,20120627,  180,  156,  209
  260,20120628,  223,  139,  279
  260,20120629,  191,  162,  223
  260,20120630,  191,  151,  242
  260,20120701,  154,  122,  191
  260,20120702,  165,  118,  213
  260,20120703,  190,  139,  235
  260,20120704,  212,  158,  265
  260,20120705,  219,  155,  274
  260,20120706,  190,  135,  229
  260,20120707,  184,  123,  240
  260,20120708,  168,  151,  197
  260,20120709,  166,  138,  194
  260,20120710,  164,  138,  196
  260,20120711,  156,  129,  192
  260,20120712,  145,  114,  186
  260,20120713,  155,  129,  205
  260,20120714,  149,  131,  178
  260,20120715,  153,  118,  185
  260,20120716,  149,  136,  177
  260,20120717,  175,  155,  195
  260,20120718,  171,  151,  192
  260,20120719,  153,  114,  181
  260,20120720,  146,   91,  191
  260,20120721,  133,   75,  184
  260,20120722,  150,   62,  209
  260,20120723,  188,  104,  256
  260,20120724,  209,  107,  289
  260,20120725,  223,  133,  287
  260,20120726,  212,  157,  270
  260,20120727,  214,  159,  287
  260,20120728,  185,  155,  221
  260,20120729,  164,  114,  207
  260,20120730,  154,  113,  195
  260,20120731,  153,  123,  179
  260,20120801,  202,  118,  269
  260,20120802,  176,  126,  214
  260,20120803,  179,  122,  230
  260,20120804,  185,  140,  237
  260,20120805,  179,  131,  238
  260,20120806,  172,  152,  204
  260,20120807,  156,  143,  192
  260,20120808,  169,  124,  207
  260,20120809,  168,  100,  219
  260,20120810,  157,   76,  219
  260,20120811,  159,   93,  213
  260,20120812,  186,  126,  241
  260,20120813,  186,  140,  245
  260,20120814,  199,  152,  262
  260,20120815,  219,  144,  288
  260,20120816,  190,  135,  241
  260,20120817,  216,  151,  270
  260,20120818,  241,  159,  320
  260,20120819,  255,  176,  330
  260,20120820,  219,  162,  270
  260,20120821,  205,  149,  267
  260,20120822,  184,  157,  221
  260,20120823,  181,  135,  231
  260,20120824,  184,  130,  239
  260,20120825,  177,  153,  218
  260,20120826,  160,  105,  196
  260,20120827,  169,   97,  218
  260,20120828,  177,  116,  228
  260,20120829,  179,  102,  241
  260,20120830,  158,  134,  210
  260,20120831,  135,   91,  171
  260,20120901,  139,   66,  193
  260,20120902,  158,  102,  196
  260,20120903,  171,  117,  230
  260,20120904,  176,   97,  247
  260,20120905,  159,  125,  201
  260,20120906,  151,  112,  196
  260,20120907,  172,  123,  232
  260,20120908,  177,  118,  254
  260,20120909,  185,   91,  281
  260,20120910,  186,  130,  233
  260,20120911,  156,   93,  182
  260,20120912,  133,   90,  169
  260,20120913,  132,   83,  171
  260,20120914,  140,  112,  175
  260,20120915,  135,   82,  191
  260,20120916,  143,   71,  193
  260,20120917,  167,  143,  199
  260,20120918,  128,   83,  174
  260,20120919,   93,   48,  150
  260,20120920,  110,   46,  157
  260,20120921,  125,   97,  162
  260,20120922,  105,   37,  161
  260,20120923,   88,   22,  136
  260,20120924,  142,   97,  216
  260,20120925,  135,  112,  168
  260,20120926,  132,  108,  161
  260,20120927,  125,   97,  166
  260,20120928,  132,   98,  171
  260,20120929,  128,  101,  158
  260,20120930,  123,   79,  165
  260,20121001,  142,  100,  187
  260,20121002,  145,  128,  178
  260,20121003,  128,  104,  150
  260,20121004,  116,  100,  151
  260,20121005,  128,   98,  164
  260,20121006,   96,   33,  153
  260,20121007,   78,   26,  153
  260,20121008,   78,   15,  138
  260,20121009,   75,   20,  142
  260,20121010,   81,   20,  145
  260,20121011,   89,   17,  143
  260,20121012,  112,   82,  144
  260,20121013,   89,   75,  113
  260,20121014,   86,   63,  118
  260,20121015,  104,   74,  135
  260,20121016,  110,   88,  150
  260,20121017,  117,   70,  157
  260,20121018,  152,  130,  186
  260,20121019,  168,  131,  212
  260,20121020,  149,  134,  164
  260,20121021,  135,  115,  148
  260,20121022,  162,  123,  220
  260,20121023,  143,  117,  182
  260,20121024,  119,  107,  137
  260,20121025,  107,   86,  133
  260,20121026,   50,    1,   86
  260,20121027,   29,  -16,   82
  260,20121028,   47,  -28,  102
  260,20121029,   75,   54,   95
  260,20121030,   69,   32,   96
  260,20121031,   77,   35,  125
  260,20121101,   78,   62,  106
  260,20121102,   67,   48,  100
  260,20121103,   62,   33,   89
  260,20121104,   61,   12,   93
  260,20121105,   68,   34,  104
  260,20121106,   67,   -3,  113
  260,20121107,  103,   94,  108
  260,20121108,   99,   90,  117
  260,20121109,   92,   79,  107
  260,20121110,  100,   80,  113
  260,20121111,   83,   67,  115
  260,20121112,   66,   46,   77
  260,20121113,   87,   71,  104
  260,20121114,   74,   10,  126
  260,20121115,   39,    0,   55
  260,20121116,   38,   18,   51
  260,20121117,   52,   19,   84
  260,20121118,   55,  -12,  103
  260,20121119,   46,  -15,  102
  260,20121120,   90,   60,  123
  260,20121121,   65,   33,  106
  260,20121122,   79,   58,  113
  260,20121123,   62,   29,   82
  260,20121124,   52,    6,   93
  260,20121125,  105,   75,  131
  260,20121126,   77,   52,   99
  260,20121127,   67,   20,   87
  260,20121128,   53,   -3,   93
  260,20121129,   42,   10,   70
  260,20121130,   23,  -28,   70
  260,20121201,   36,   26,   52
  260,20121202,   23,  -15,   58
  260,20121203,   27,  -11,   72
  260,20121204,   43,   -1,   67
  260,20121205,   12,  -12,   37
  260,20121206,    6,  -31,   36
  260,20121207,    3,  -12,   16
  260,20121208,  -18,  -83,   20
  260,20121209,   53,   18,   84
  260,20121210,   32,   -3,   62
  260,20121211,    6,  -19,   33
  260,20121212,   15,   -5,   42
  260,20121213,  -10,  -26,    5
  260,20121214,   50,    3,   96
  260,20121215,   84,   69,   97
  260,20121216,   72,   45,   80
  260,20121217,   62,   42,   78
  260,20121218,   57,   41,   71
  260,20121219,   54,   41,   61
  260,20121220,   32,   26,   42
  260,20121221,   49,   26,   79
  260,20121222,   72,   67,  104
  260,20121223,  114,   99,  130
  260,20121224,  100,   74,  127
  260,20121225,   86,   74,  105
  260,20121226,   80,   63,   94
  260,20121227,   75,   45,   98
  260,20121228,   65,   20,  105
  260,20121229,  108,   92,  120
  260,20121230,   79,   57,   94
  260,20121231,   95,   87,  104
